deu_2005,xfra_2005,xbnl_2005
0.9536819999999999,0.6832739999999999,0.999617
0.9611569999999999,0.673978,0.999727
0.96554,0.655776,0.999782
0.96725,0.639044,0.999798
0.96991,0.621151,0.999727
0.9740840000000001,0.6005510000000001,0.999533
0.977182,0.578969,0.999173
0.9794280000000001,0.5405449999999999,0.9980979999999999
0.98067,0.483397,0.99623
0.9822709999999999,0.424883,0.993642
0.980992,0.37449099999999996,0.988675
0.975678,0.329867,0.978466
0.9651219999999999,0.296083,0.9626959999999999
0.947486,0.27216799999999997,0.950642
0.924374,0.256472,0.9421200000000001
0.906071,0.25518,0.931536
0.885682,0.262102,0.932042
0.8643370000000001,0.27121100000000004,0.943089
0.8514649999999999,0.27889,0.952881
0.852936,0.282776,0.9614520000000001
0.862822,0.281684,0.966625
0.86703,0.270341,0.964467
0.869439,0.249196,0.956564
0.871871,0.22585999999999998,0.943967
0.868293,0.20543699999999998,0.928141
0.8592719999999999,0.19345,0.9068950000000001
0.8353799999999999,0.18467999999999998,0.872718
0.79182,0.166044,0.825976
0.764675,0.166008,0.79393
0.7601939999999999,0.192461,0.8070649999999999
0.738558,0.2234,0.816505
0.703846,0.246223,0.825332
0.6602779999999999,0.267329,0.844126
0.651922,0.30582600000000004,0.8895489999999999
0.652837,0.350682,0.9279200000000001
0.653373,0.38556,0.949615
0.6587529999999999,0.412418,0.9622809999999999
0.669283,0.43338699999999997,0.9707690000000001
0.69042,0.45032700000000003,0.9790989999999999
0.714776,0.46186099999999997,0.9842799999999999
0.743888,0.47196000000000005,0.986041
0.771423,0.476605,0.9850129999999999
0.789982,0.48109399999999997,0.9830899999999999
0.795571,0.483598,0.9783069999999999
0.788809,0.48520399999999997,0.974024
0.769875,0.483304,0.9707469999999999
0.7509819999999999,0.491018,0.9710280000000001
0.732395,0.5073350000000001,0.970304
0.716862,0.526641,0.97075
0.703519,0.5410010000000001,0.970126
0.6894640000000001,0.538018,0.9704280000000001
0.6767029999999999,0.529365,0.9670049999999999
0.666856,0.5325,0.9640290000000001
0.656828,0.542856,0.9609040000000001
0.652898,0.546132,0.9622290000000001
0.6585479999999999,0.5315310000000001,0.9667370000000001
0.681373,0.510935,0.969936
0.711317,0.5057699999999999,0.971924
0.735084,0.517413,0.9734010000000001
0.752933,0.523874,0.9718549999999999
0.77015,0.523225,0.969823
0.781543,0.513799,0.963733
0.796333,0.495729,0.95315
0.811489,0.464092,0.9315889999999999
0.82101,0.42374399999999995,0.899581
0.814913,0.379527,0.852439
0.802136,0.330394,0.784415
0.7707579999999999,0.283078,0.698324
0.728338,0.245844,0.619708
0.6706979999999999,0.228935,0.536798
