deu_2012,xbnl_2012,xfra_2012
81583700,31281800,80082600
81765400,31352900,84355100
79910200,30316500,81856400
75467000,28890800,77849000
71954400,27187000,74105900
69394100,26074500,76252000
64594300,24989400,75070400
60521500,23018200,70992300
57748500,21760200,71972600
56273900,21180700,69984600
56191100,20811800,68033000
57350500,20824100,68319800
60534200,21588800,72435200
69633300,24261400,79831100
78171100,28064500,85158600
80313900,30131900,84722500
79687100,30303800,84248100
80471500,30277800,82960400
81393900,30511700,82402500
80485300,29741000,80831000
79677900,29677500,78354900
78492000,29352400,76070300
77588000,29159300,74753200
77608700,29278800,75477000
82323300,31292700,81410500
82698200,31384900,85413000
80828000,30539700,82796400
76781700,28929200,78747800
73242600,27194600,74434900
70768500,26015300,76529000
65932000,24865700,75307100
61869600,23163600,71201500
59354100,21934600,72032500
57945100,21188800,69975700
57935900,20852900,67600800
58850300,20842700,67768700
62166300,21712000,71261400
70234800,24322100,78396100
77981300,28160600,83556600
79161400,30271700,84525000
78416100,30761900,84415000
79789400,31035700,83418100
80709600,31355400,83187300
80058600,31017700,82071500
79201700,31107200,80319300
78071100,30935900,78411800
77524700,30928300,77026000
77787000,31272400,77127100
82150800,32480400,81639400
81817200,31747500,84998500
78628900,30721200,81604000
73308100,29124600,76961100
69039800,27356400,72448900
66190800,26245600,73993900
60934500,24923400,72614900
56648900,22900500,68072200
54361200,21577000,67667600
53294900,20856200,65415400
53906800,20405700,62596500
55249100,20517900,62302800
58588100,21239200,65660900
67250100,23815800,73098200
75699400,27637600,78347000
78313700,30074100,77771500
78758900,30501200,77660500
79451300,30589700,76987700
80598000,30910400,77090800
80595700,30495600,76332500
80194300,30650200,74899500
79452400,30271600,73230800
79260300,30012900,72166000
79139600,29847600,71931300
80913200,31357300,75960300
79276400,31498400,78949100
76463100,30416700,75598800
71742700,28880100,70939300
67667600,26971600,66822900
64952100,25807000,68578100
59726800,24643500,67132300
55991000,22772700,62867600
53925200,21570100,62452100
53031500,20717900,60356100
53188000,20333000,58080300
54978800,20445100,58050900
58609900,21353200,61713500
67186900,23897200,69046600
75181800,27666000,74587200
77221100,29788200,74561600
77263600,30308700,74367200
77845600,30418900,73762100
78420700,30648900,74022400
77772000,30228300,73475300
76450400,30255200,72117900
75241600,30070600,70230100
74443400,29782900,69033800
75172600,29642400,69163500
79391500,31022100,73376100
79325900,30670000,76077200
76591900,29437600,73035300
71502400,27780500,69029900
67905700,26083600,65669800
66083800,25192900,67714700
61774100,24391900,66183500
57595500,22723300,61294100
54922400,21267400,60043800
53419200,20289300,57429100
52570300,19633400,54938300
52243700,19374300,53556300
51693900,19420700,54614200
51726100,20200800,56630600
55810400,21537900,59576200
60923000,23371100,61595600
64608100,25283600,63455900
67121300,26288700,63629800
68003500,26676500,64464600
66454200,26646100,65611800
63761600,26124800,62825300
62078900,25532400,60696900
61531400,25316200,59080200
62068500,25490400,59172500
67170800,27348200,62887200
68431400,27680500,66438800
