technology,region,decommissioning_year,capacity
tnuc,xczs,2044,2470000.0
tnuc,xczs,2049,0.0
tnuc,xczs,2054,880000.0
tnuc,xskb,2019,440000.0
tnuc,xskb,2024,880000.0
tnuc,xskb,2029,1000000.0
tnuc,xskb,2034,1000000.0
tnuc,xskb,2039,0.0
tnuc,xskb,2044,0.0
tnuc,xskb,2049,0.0
tnuc,xskb,2054,0.0
tnuc,xhur,2019,0.0
tnuc,xhur,2024,1000000.0
tnuc,xhur,2029,1000000.0
tnuc,xhur,2034,0.0
tnuc,xhur,2039,720000.0
tnuc,xhur,2044,0.0
tnuc,xhur,2049,720000.0
tnuc,xhur,2054,0.0
tnuc,xfwy,2019,0.0
tnuc,xfwy,2024,707000.0
tnuc,xfwy,2029,0.0
tnuc,xfwy,2034,0.0
tnuc,xfwy,2039,0.0
tnuc,xfwy,2044,0.0
tnuc,xfwy,2049,0.0
tnuc,xfwy,2054,0.0
tnuc,swe,2019,3005000.0
tnuc,swe,2024,4096000.0
tnuc,swe,2029,2405000.0
tnuc,swe,2034,0.0
tnuc,swe,2039,0.0
tnuc,swe,2044,0.0
tnuc,swe,2049,0.0
tnuc,swe,2054,0.0
tnuc,deu,2019,6588000.0
tnuc,deu,2024,5017000.0
tnuc,deu,2029,12044000.0
tnuc,deu,2034,0.0
tnuc,deu,2039,0.0
tnuc,deu,2044,0.0
tnuc,deu,2049,0.0
tnuc,deu,2054,0.0
tnuc,dnk,2019,0.0
tnuc,dnk,2024,0.0
tnuc,dnk,2029,0.0
tnuc,dnk,2034,0.0
tnuc,dnk,2039,0.0
tnuc,dnk,2044,0.0
tnuc,dnk,2049,0.0
tnuc,dnk,2054,0.0
tnuc,xfra,2019,5564000.0
tnuc,xfra,2024,19016000.0
tnuc,xfra,2029,14088000.0
tnuc,xfra,2034,8214000.0
tnuc,xfra,2039,3121000.0
tnuc,xfra,2044,3121000.0
tnuc,xfra,2049,0.0
tnuc,xfra,2054,0.0
tnuc,xalp,2019,1020000.0
tnuc,xalp,2024,1220000.0
tnuc,xalp,2029,0.0
tnuc,xalp,2034,0.0
tnuc,xalp,2039,0.0
tnuc,xalp,2044,0.0
tnuc,xalp,2049,0.0
tnuc,xalp,2054,0.0
tnuc,pol,2019,0.0
tnuc,pol,2024,0.0
tnuc,pol,2029,0.0
tnuc,pol,2034,0.0
tnuc,pol,2039,0.0
tnuc,pol,2044,0.0
tnuc,pol,2049,0.0
tnuc,pol,2054,0.0
tnuc,xbal,2019,0.0
tnuc,xbal,2024,1500000.0
tnuc,xbal,2029,1500000.0
tnuc,xbal,2034,0.0
tnuc,xbal,2039,0.0
tnuc,xbal,2044,0.0
tnuc,xbal,2049,0.0
tnuc,xbal,2054,0.0
tnuc,xbnl,2019,1833000.0
tnuc,xbnl,2024,2111000.0
tnuc,xbnl,2029,2096000.0
tnuc,xbnl,2034,0.0
tnuc,xbnl,2039,0.0
tnuc,xbnl,2044,0.0
tnuc,xbnl,2049,0.0
tnuc,xbnl,2054,0.0
tnuc,xgbr,2019,2890000.0
tnuc,xgbr,2024,660000.0
tnuc,xgbr,2029,1980000.0
tnuc,xgbr,2034,0.0
tnuc,xgbr,2039,1320000.0
tnuc,xgbr,2044,0.0
tnuc,xgbr,2049,0.0
tnuc,xgbr,2054,0.0
tnuc,fin,2019,510000.0
tnuc,fin,2024,510000.0
tnuc,fin,2029,0.0
tnuc,fin,2034,0.0
tnuc,fin,2039,0.0
tnuc,fin,2044,0.0
tnuc,fin,2049,0.0
tnuc,fin,2054,0.0
tnuc,nor,2019,0.0
tnuc,nor,2024,0.0
tnuc,nor,2029,0.0
tnuc,nor,2034,0.0
tnuc,nor,2039,0.0
tnuc,nor,2044,0.0
tnuc,nor,2049,0.0
tnuc,nor,2054,0.0
grid,deu-fra,2039,3200000.0
grid,deu-dnk,2039,2085000.0
grid,deu-pol,2039,1200000.0
grid,deu-swe,2039,610000.0
grid,deu-xalp,2039,5500000.0
grid,deu-xczs,2039,2300000.0
grid,dnk-nor,2039,950000.0
grid,dnk-swe,2039,2440000.0
grid,fin-xbal,2039,350000.0
grid,nor-swe,2039,3895000.0
grid,swe-fin,2039,2050000.0
grid,swe-pol,2039,600000.0
grid,xbnl-deu,2039,4830000.0
grid,xalp-xfwy,2039,900000.0
grid,xalp-xhur,2039,800000.0
grid,xalp-xita,2039,4385000.0
grid,xczs-xhur,2039,1300000.0
grid,xfra-deu,2039,3200000.0
grid,xbnl-fra,2039,3400000.0
grid,xfra-xalp,2039,3200000.0
grid,xfra-xbnl,2039,3400000.0
grid,xfra-xita,2039,2575000.0
grid,xhur-xfwy,2039,1200000.0
grid,xibe-xfra,2039,1300000.0
grid,xita-xfwy,2039,580000.0
grid,xita-xgma,2039,500000.0
grid,xfwy-xgma,2039,200000.0
grid,xfwy-xskb,2039,1350000.0
grid,xgbr-xfra,2039,2000000.0
grid,xgma-xskb,2039,1660000.0
grid,xhur-xskb,2039,1900000.0
grid,pol-xczs,2039,2400000.0
grid,xalp-xczs,2039,1000000.0
rror,deu,2099,4080420.0
rror,dnk,2099,3996.0
rror,fin,2099,2253040.0
rror,nor,2099,24955400.0
rror,pol,2099,770370.0
rror,swe,2099,16048800.0
rror,xalp,2099,21262100.0
rror,xbal,2099,1643460.0
rror,xbnl,2099,192370.0
rror,xczs,2099,2450810.0
rror,xfra,2099,18069900.0
rror,xfwy,2099,5150560.0
rror,xgbr,2099,1687700.0
rror,xgma,2099,5295810.0
rror,xhur,2099,6841230.0
rror,xibe,2099,18949500.0
rror,xita,2099,14694600.0
rror,xskb,2099,4149540.0
sphs,deu,2059,54469400.0
sphs,dnk,2059,0.0
sphs,fin,2059,0.0
sphs,nor,2059,5652800.0
sphs,pol,2059,11728800.0
sphs,swe,2059,3440000.0
sphs,xalp,2059,31596800.0
sphs,xbal,2059,6400000.0
sphs,xbnl,2059,20040000.0
sphs,xczs,2059,15816000.0
sphs,xfra,2059,37311600.0
sphs,xfwy,2059,8060320.0
sphs,xgbr,2059,25936000.0
sphs,xgma,2059,4920000.0
sphs,xhur,2059,0.0
sphs,xibe,2059,49554400.0
sphs,xita,2059,57096000.0
sphs,xskb,2059,13227200.0
