dnk_2012,deu_2012,fin_2012,pol_2012,xalp_2012,xbnl_2012,xbal_2012,nor_2012,swe_2012,xfra_2012,xhur_2012,xczs_2012,xgbr_2012,xgma_2012,xibe_2012,xita_2012,xskb_2012,xfwy_2012,hoy
4263130,59692300,11318200,16454300,16193300,22374500,3109180,15726500,18217400,67304200,10703200,11421100,34185600,6947060,35420500,30301200,8978350,5173460,103
5113550,67182300,11744300,18202500,17428000,25076300,3420260,17592600,19937500,72730800,11302400,12126300,39802500,7418040,39177400,34538000,9737560,5745400,104
5433210,71484000,11620300,18745600,18242600,27796800,3506230,18190600,20736100,72840800,11459400,12379200,47090700,8026920,42101300,38864900,10393700,6102480,105
5402040,73203500,11609300,19132900,18723300,28861900,3621860,18521000,20817100,73198300,11539400,12670100,49808400,8182080,43733900,41728200,10758700,6257720,106
5455320,74497400,11609300,19293400,18988300,29384000,3584100,18228500,21117300,73182600,11527900,12784800,51024500,8160290,43865200,41814200,10648000,6299350,107
5396010,76119200,11612300,19523100,19133100,29745400,3564210,17959200,21188400,74182500,11538100,12870500,51865600,8086470,43192400,41587500,10665000,6368800,108
5294490,76223900,11517300,19517300,18762300,29303000,3632750,17816600,21103300,73661000,11596500,12955700,52108600,8012940,42936500,40002500,10542400,6337610,109
5295490,75172600,11454300,19648000,18694800,29279500,3665760,17730600,20932200,72357600,11566500,13005600,52169400,7888700,40893200,38693800,10360800,6353690,110
5216080,73817700,11577300,19397200,18295500,29133000,3724920,17894400,20935200,70767400,11608000,12916900,51881100,7944930,39782100,38469100,10241700,6248050,111
5168830,72846900,11863300,19454900,18227200,29233600,3845360,18018400,21374500,69602500,11909900,12940600,51982800,8287110,39450000,38910400,10462200,6208620,112
5470400,73685400,11873300,20440000,19014800,29570700,3796380,18482200,21790800,70274300,12687800,12973100,52375500,8897300,39815400,40721100,11052300,6542360,113
5841330,76769000,11825300,20617800,19251600,31073600,3745270,18431300,21761800,74866100,12763700,12939300,57129200,9394830,41445100,44188700,11741900,6959840,114
5578960,76325100,11800300,20269900,18847100,30452300,3615160,18139700,21127300,77421800,12554500,12679100,59360600,9385190,41935300,44149200,11946000,6854570,115
5155770,72986100,11538300,20030600,17867300,29588600,3476090,17744400,20480900,74002800,12300600,12552100,58353800,9241690,42209100,43404300,11738500,6797650,116
4772780,68723500,11078200,19455800,16870600,27931900,3270230,17451000,19787400,69409000,11823200,12168800,55751100,8495930,42346300,40733300,11396100,6529590,117
4433010,64789900,11290200,18259200,16090200,26170400,2951640,16917800,18892800,65566700,11051700,11435600,52461800,7824830,41112500,37745400,11099900,6282710,118
4062090,62616000,10814100,16871400,16206800,25440700,2623360,16319000,18028200,67430900,10340900,10690600,48221600,7537330,39001200,34112900,11042200,5952300,119
3694180,57433300,10237000,15670000,15142800,24468200,2383690,15652500,17220700,65818100,9786810,10106100,43250800,7010680,36216100,30956100,10295400,5389810,120
3430810,53181100,9771930,14514700,15117200,22565100,2327370,15067500,16584200,61631000,9231480,9761860,39123600,6398370,32700000,28203100,9605520,4857080,121
3293100,50038800,9554890,13707400,14685300,21097200,2233560,14855500,16252000,61097700,8917790,9691000,38307100,6237720,30175800,26330600,8938270,4458880,122
3232780,48772400,9460870,13320100,14302700,20226900,2227680,14686100,16177000,58997700,8669830,9525860,37312700,5927310,28387900,25308400,8301250,4448850,123
3237810,48985200,9436870,13191300,14069600,19816000,2265100,14708300,16196000,57280800,8613920,9409260,36265000,5674940,27713000,24405500,7975620,4349060,124
3332300,50095100,9552890,13139400,13865600,19853300,2385130,14918500,16303100,57251400,8821270,9452290,35158800,5569720,27511600,24215300,7890230,4386640,125
3593660,51588100,9763930,12976000,14283700,20541800,2699170,15379400,16643300,61158600,9440530,9901460,34257000,5671760,27666300,24225400,8067450,4576140,126
4264140,55422800,9915960,12905800,14799500,22651500,3112080,16597600,17343800,68422900,10671700,11002000,35299400,5873360,28547700,25469300,8669530,5023560,127
5133650,60855100,10157000,13113400,15229400,25362000,3443780,18376600,18148300,74722700,11209100,11598700,41035700,6135960,29254300,27190900,9536920,5304570,128
5400030,64486200,10267000,13490200,16184500,27805300,3575820,19150500,18850800,74519400,11325800,11729000,48439500,6608520,31447300,28395400,10268200,5636210,129
5343740,66483000,10314000,14175500,16588000,28794200,3609250,18945900,19244000,74085300,11317800,11980000,51159200,7095340,33481700,31027900,10772100,5829680,130
5339720,68113900,10445100,14848200,17040400,29317400,3534860,18729300,19688300,72992100,11271600,12156600,52754200,7828070,34596100,32721200,10856600,5910260,131
5215070,69964600,10475100,15251900,17251800,29555400,3497520,18634000,19901500,72717100,11295800,12146300,53090000,8292300,34557000,33697900,11092100,5987850,132
5019060,69986400,10491100,15597000,16949800,29248400,3603230,18424800,19820400,71992200,11322800,12123800,53116800,8166190,34964400,33752600,11071200,5955300,133
4872300,68281800,10519100,15880500,16710900,29072000,3596890,18310000,19743400,69903100,11205800,11674700,52984300,7712670,33755700,31442900,11111000,5960680,134
4694370,66557700,10826100,15806500,16473000,28705500,3639620,18277600,19823400,68109600,11150400,11589300,52237800,7586190,32314500,30139300,10988000,5848830,135
4619980,65635300,11302200,15769000,16394300,28408900,3730760,18251700,20554900,66946600,11427900,11753800,51846300,7907390,32004800,30341700,11072600,5808460,136
5009000,67436500,11384300,16654200,17081800,28488000,3758520,18547000,21459500,67432800,12243300,11876600,52143100,8094740,32618300,31183800,11507000,6142700,137
5508600,72028000,11393300,16875200,17674500,30304300,3647320,18570100,21655700,74242400,12395900,11957200,56740800,8300870,35204000,35528900,11772900,6541000,138
5360830,72052100,11340200,16919400,17708900,29819800,3479050,18161900,21109300,76655700,12141100,11911300,58985300,8301250,37452600,37153300,11603100,6512650,139
4925570,69401000,11072200,16792600,17048600,28716600,3345430,17775900,20503900,74036200,11931300,12097300,56878600,8240830,38560300,37484300,11341900,6451780,140
4504380,65166000,10753100,16455200,16065200,27176400,3222380,17256600,19819400,70036600,11472900,11667900,53347100,7848300,39394800,36360800,10880500,6242190,141
4192770,62375600,11153200,15804600,15531400,25520200,2949580,16657700,18960900,66852400,10882000,11002600,49407100,7360750,39370300,34631100,10586900,5992720,142
3891200,60998900,10859100,15176900,15740300,24941500,2644880,16088500,18167300,69278400,10311700,10342100,45180700,7153020,37434000,32239400,10413700,5807160,143
3581590,56988200,10329000,14168700,14831800,24072800,2485200,15597900,17300700,67672500,9731360,9823630,41534600,6667580,34700000,29570400,9944770,5327300,144
3284050,53422600,9955970,13148000,14943600,22407300,2346820,15078600,16611300,62838100,9160130,9311420,38473900,6133070,31479200,26691900,9335150,4793900,145
3090040,50329800,9744930,12397400,14730700,20890600,2282910,14616700,16220000,61451200,8785210,9068680,37626000,5999180,28988900,24722300,8668360,4426740,146
3020680,48526300,9638910,12132100,14413500,19686500,2232230,14256600,16037900,58985900,8517390,9051910,35929100,5760670,27747100,23520900,8037670,4308570,147
3036770,47990300,9620900,12076400,14076200,19129500,2227010,14097400,15984800,56276000,8373230,8980950,34157600,5542700,27077800,23083700,7767800,4221410,148
3059890,48198500,9750930,12074500,13880100,18853500,2275300,14186300,15973800,55395000,8421170,8984410,32649500,5459080,27190500,22998700,7666770,4244420,149
3128240,47672800,10039000,12400300,14221200,18913600,2422790,14334400,16158000,56511800,8610720,8948610,31018800,5602680,27836900,23651500,7749820,4415840,150
3336320,47408300,10161000,13199900,14448100,19569300,2643710,14577800,16632300,58319000,9073540,9319420,30728300,5833380,29205200,25933900,7976580,4756890,151
3636880,50445900,10540100,13964000,14883600,20677500,2756670,15211900,17233700,60974900,9484270,9654480,32774500,6261170,30705200,28368000,8477520,5088660,152
3931410,54944300,10571100,14677200,15538700,22490000,2917270,16045900,18034200,62929500,9886260,9948310,35506400,6946430,32855400,30539100,9285130,5469930,153
4200810,58681300,10686100,15620000,16064100,24257900,3061920,16554100,18589600,64865400,10195400,10617900,38846200,7502530,35162500,33278900,9646140,5733140,154
4335510,61514200,10773100,16208200,16197200,25398400,3114710,17046500,19098900,65203200,10317100,11072400,42504800,7862890,35886800,34247500,9954930,5786520,155
4339530,63324500,10788100,16560900,16263700,25830800,3082440,17115900,19313100,66061700,10377900,11167800,44125200,8010420,36015500,34557200,9948500,5788020,156
4266150,62717200,10748100,16607100,16453400,25697200,3145250,17019700,19308100,67062500,10328000,11149100,44788900,8115310,36580800,34016700,9945000,5713170,157
4190760,61657900,10793100,16844500,16699800,25137200,3116540,17066900,19210000,63966700,10102800,11030700,44965500,7870820,36124500,32556200,9784410,5625010,158
