,deu_2012,xbnl_2012,xfra_2012
7197,70009400.0,25842700.0,55529600.0
7198,65821600.0,24165100.0,52561400.0
7199,62443500.0,23212800.0,55040400.0
7200,53466300.0,20509800.0,48722900.0
7201,50957800.0,19318500.0,47492200.0
7202,49721300.0,18311800.0,45133000.0
7203,49512600.0,18137000.0,44201400.0
7204,49303800.0,17962200.0,43269800.0
7205,49181900.0,17805900.0,42892600.0
7206,48716100.0,17880200.0,44121300.0
7207,49525800.0,18606600.0,46828300.0
7208,53258100.0,20082600.0,50323900.0
7209,57326300.0,21650000.0,52948400.0
7210,60483600.0,22968700.0,55829100.0
7211,62177800.0,23656900.0,56333000.0
7212,62851800.0,24070700.0,57472400.0
7213,61602700.0,23688800.0,58638200.0
7214,59418500.0,22773200.0,55471600.0
7215,57826700.0,22426300.0,53695800.0
7216,57339000.0,22110500.0,52067300.0
7217,57368900.0,21890900.0,51463300.0
7218,59301200.0,22560300.0,52915900.0
7219,63851300.0,23863300.0,58729600.0
7220,63515500.0,24637300.0,59922900.0
7221,59132100.0,23544000.0,56674800.0
7222,55533200.0,22208100.0,54336200.0
7223,54990300.0,21566200.0,58354400.0
7224,48716100.0,19619700.0,53464000.0
7225,46268500.0,18355800.0,52346300.0
7226,45089500.0,17657800.0,47231000.0
7227,44559300.0,17120300.0,47231000.0
7228,44183200.0,16963100.0,46709400.0
7229,43895600.0,16878900.0,46840100.0
7230,43405700.0,17032300.0,48166000.0
7231,43893300.0,17663700.0,49973300.0
7232,47755700.0,18351000.0,51484900.0
7233,52405800.0,19598200.0,54253700.0
7234,55696500.0,20938000.0,55602300.0
7235,56706400.0,21456100.0,55638600.0
7236,57827800.0,21782500.0,56447900.0
7237,55827600.0,21817100.0,56836900.0
7238,52632400.0,21199800.0,53100600.0
7239,50969300.0,20702600.0,50750200.0
7240,51899800.0,20631500.0,49752300.0
7241,53918300.0,21114600.0,50343600.0
7242,60301900.0,23580800.0,55423500.0
7243,63242900.0,24936400.0,60468100.0
7244,62045500.0,24562000.0,60030000.0
7245,59397800.0,23659900.0,57734600.0
7246,57271100.0,22386700.0,55371400.0
7247,57112400.0,21493300.0,58285600.0
7248,51217700.0,18919900.0,53679100.0
7249,49803000.0,17997500.0,53067200.0
7250,49187600.0,17552600.0,50906400.0
7251,49421100.0,17494000.0,50128500.0
7252,49654600.0,17435300.0,49350600.0
7253,51177400.0,17736700.0,50339600.0
7254,55412400.0,18829300.0,54702600.0
7255,65443200.0,21505200.0,61097700.0
7256,72554800.0,24852300.0,64788800.0
7257,75640700.0,26870200.0,67499600.0
7258,77693800.0,27962600.0,68004500.0
7259,78723200.0,28397100.0,67406300.0
7260,79539800.0,28708000.0,67541900.0
7261,78294200.0,28402300.0,66345500.0
7262,77352200.0,28455300.0,64871300.0
7263,76919700.0,28146800.0,62791900.0
7264,75961600.0,28072500.0,61420800.0
7265,75234700.0,28224000.0,61336300.0
7266,78542600.0,29662600.0,66076400.0
7267,78833600.0,29306500.0,70911800.0
7268,76410200.0,28214700.0,68120400.0
7269,71860100.0,26543500.0,63749600.0
7270,67366300.0,24935800.0,60492600.0
7271,63815700.0,23860000.0,62760500.0
7272,54611900.0,20827200.0,57175700.0
7273,52461100.0,19659200.0,56703300.0
7274,51205100.0,18930200.0,54713400.0
7275,51398300.0,18802300.0,53833300.0
7276,51591500.0,18674500.0,52953300.0
7277,52649700.0,18843500.0,53526900.0
7278,56203800.0,19706200.0,57439900.0
7279,65432800.0,22236600.0,63411700.0
7280,73332300.0,25161200.0,66620600.0
7281,76191700.0,26829600.0,68198000.0
7282,76920900.0,27688600.0,68133100.0
7283,78126300.0,28022800.0,67073300.0
7284,78860100.0,28245100.0,66630400.0
7285,78745100.0,27880600.0,65479200.0
7286,78392000.0,27701500.0,63846800.0
7287,77129100.0,27608800.0,62049400.0
7288,76131800.0,27366900.0,60605600.0
7289,75487700.0,27472600.0,60398300.0
7290,78894600.0,28906000.0,64903700.0
7291,79109700.0,29041500.0,70128000.0
7292,76642500.0,28084800.0,67323800.0
7293,72266100.0,26384500.0,62987400.0
7294,67820600.0,24881100.0,59729500.0
7295,64072200.0,23821200.0,62385300.0
7296,54381900.0,20811000.0,56741600.0
7297,52352900.0,19504200.0,55811500.0
7298,51400600.0,18781500.0,53907000.0
7299,51629500.0,18639400.0,52926700.0
7300,51858400.0,18497300.0,51946500.0
7301,52980900.0,18677800.0,52540700.0
7302,55897800.0,19477200.0,56202400.0
7303,63134800.0,21984500.0,62307700.0
7304,68667200.0,24866200.0,65636400.0
7305,70706400.0,26556000.0,67895400.0
7306,71945200.0,27391700.0,68199000.0
7307,73112600.0,27574300.0,67324800.0
7308,74664200.0,27504200.0,67503600.0
7309,73011400.0,27024200.0,66331800.0
7310,71419500.0,26833300.0,64812300.0
7311,70689200.0,26599300.0,63005100.0
7312,69665500.0,26442600.0,61236100.0
7313,69411300.0,26668600.0,60836400.0
7314,73918900.0,28580600.0,64796600.0
7315,73994800.0,28667000.0,68008400.0
7316,71553000.0,27568500.0,65397700.0
7317,66912000.0,25985900.0,61162500.0
7318,63031200.0,24521300.0,57998800.0
7319,60329500.0,23451000.0,60674300.0
7320,51621400.0,20579600.0,54887200.0
7321,49344100.0,19204600.0,54039600.0
7322,48435400.0,18459900.0,51378800.0
7323,48399800.0,18122400.0,48757300.0
7324,48602200.0,17970600.0,47936200.0
7325,49438400.0,18472900.0,48713100.0
7326,51820400.0,20249300.0,50352400.0
7327,55009900.0,22463400.0,50775700.0
7328,57487400.0,24093600.0,52898300.0
7329,59610600.0,25228400.0,54620100.0
7330,62189300.0,25718300.0,55101300.0
7331,64992300.0,26254300.0,56381100.0
7332,65814700.0,26213700.0,57576500.0
7333,64520700.0,25947300.0,54320500.0
7334,63382100.0,25595500.0,52032900.0
7335,61692400.0,25426700.0,50851400.0
7336,61408300.0,25742500.0,51066500.0
7337,65605400.0,27077100.0,56454800.0
7338,66336900.0,27303600.0,60581000.0
7339,64290700.0,26554100.0,59582100.0
7340,60675700.0,25495500.0,56891900.0
7341,57878400.0,24035100.0,54741800.0
7342,56533900.0,23021900.0,57976200.0
7343,52053900.0,21798400.0,57200300.0
7344,48655100.0,20135700.0,53005300.0
7345,46526100.0,18820800.0,52204800.0
7346,45694500.0,18193900.0,49812200.0
7347,45601400.0,18032000.0,47954900.0
7348,47560100.0,18115700.0,48141500.0
7349,51354600.0,18820100.0,50889700.0
7350,58088900.0,20968600.0,55139600.0
7351,64020400.0,23561000.0,56796600.0
7352,66315000.0,25209300.0,59310100.0
7353,67326000.0,26154300.0,60509300.0
7354,68679800.0,26409300.0,60589900.0
7355,69249100.0,26652900.0,61509200.0
7356,67755100.0,26301000.0,62337200.0
7357,67305300.0,26501500.0,59833600.0
7358,67090200.0,26231100.0,57822000.0
7359,67878100.0,26292300.0,56252500.0
7360,68695900.0,26645800.0,56021700.0
7361,72884900.0,28271100.0,60882600.0
7362,72419000.0,27953600.0,64506900.0
7363,69530900.0,26842800.0,62005200.0
7364,64444800.0,25456700.0,58349500.0
7365,60814800.0,23805600.0,55585600.0
7366,58476500.0,23293200.0,58517400.0
7367,54165600.0,22392300.0,57190500.0
7368,49831700.0,20690200.0,52409100.0
7369,47572800.0,19384500.0,51234400.0
7370,46061400.0,18625500.0,48469500.0
7371,45827900.0,18200900.0,46134800.0
7372,46465100.0,18054000.0,45677100.0
7373,46537600.0,18148300.0,46809600.0
7374,47994900.0,18869500.0,48724900.0
7375,51362600.0,19982100.0,49922200.0
7376,55545800.0,21468100.0,52943400.0
7377,59478300.0,23315600.0,54788000.0
7378,62441200.0,24369600.0,54980500.0
7379,64081400.0,24778100.0,55933300.0
7380,63520100.0,24811100.0,57069700.0
7381,62387100.0,24316000.0,54250700.0
7382,60545700.0,23712200.0,52163600.0
7383,59464500.0,23274900.0,50671600.0
7384,59839500.0,23466500.0,50459500.0
7385,64501200.0,25524200.0,55456900.0
7386,64945200.0,26178100.0,58983000.0
7387,61279500.0,25266500.0,57038200.0
7388,56640800.0,23968700.0,53912900.0
7389,54615300.0,22732900.0,51971100.0
7390,54352000.0,22221200.0,55544300.0
7391,50948600.0,21346000.0,55076800.0
7392,46780300.0,19890400.0,50653900.0
7393,43894500.0,18823700.0,49508700.0
7394,42814500.0,17985400.0,46772300.0
7395,42761600.0,17544000.0,44273600.0
7396,43440200.0,17325300.0,43242300.0
7397,43174500.0,17346200.0,43745200.0
7398,42506200.0,17760100.0,44729300.0
7399,43745000.0,18237100.0,44907100.0
7400,47770600.0,19282800.0,47563900.0
7401,51524800.0,20728200.0,50256100.0
7402,55067400.0,21716000.0,52075200.0
7403,58399500.0,22579100.0,53858900.0
7404,58998700.0,23095000.0,55228000.0
7405,57873800.0,22931700.0,51739300.0
7406,55969100.0,22513900.0,49349600.0
7407,54616500.0,22187400.0,48223000.0
7408,55044400.0,22596700.0,48638500.0
7409,60307600.0,24843000.0,53360900.0
7410,61943200.0,25741100.0,57079500.0
7411,59978700.0,25309200.0,56699400.0
7412,57046800.0,24278400.0,54558200.0
7413,55467600.0,22992800.0,52681200.0
7414,55014500.0,22214900.0,55813400.0
7415,51237300.0,20890600.0,54691800.0
7416,47631400.0,19372300.0,50400500.0
7417,46143100.0,18478200.0,49731700.0
7418,45523100.0,17973200.0,47493200.0
7419,46324800.0,17826000.0,45781300.0
7420,48997800.0,18033000.0,46638700.0
7421,53842400.0,19171900.0,50902400.0
7422,64739300.0,22108500.0,57188500.0
7423,72276400.0,25546900.0,60541700.0
7424,75013900.0,27174500.0,62810600.0
7425,75446300.0,28157500.0,63925400.0
7426,76582700.0,28346200.0,64373300.0
7427,77577600.0,28525300.0,65234700.0
7428,77106000.0,28319800.0,65107000.0
7429,76536700.0,28498700.0,63768300.0
7430,75692500.0,28280700.0,62222300.0
7431,75222000.0,28244300.0,60854100.0
7432,75216300.0,28333200.0,60901200.0
7433,78457500.0,30192100.0,65674700.0
7434,78433400.0,30219700.0,69420800.0
7435,75929400.0,29162600.0,66780700.0
7436,71205600.0,27452000.0,62425600.0
7437,66746300.0,25848000.0,58979100.0
7438,62643600.0,24761000.0,61763600.0
7439,56967500.0,23252800.0,60380600.0
7440,52891200.0,21432500.0,55877300.0
7441,50919800.0,20252700.0,55106200.0
7442,50587400.0,19436800.0,52826600.0
7443,51473000.0,19317700.0,51257000.0
7444,53163800.0,19502100.0,51651900.0
7445,57150400.0,20489200.0,55249600.0
7446,66792300.0,23300500.0,61433600.0
7447,73958000.0,26594600.0,64811300.0
7448,75636100.0,27715300.0,67056700.0
7449,75231200.0,28451900.0,67673500.0
7450,76214700.0,28479100.0,67396500.0
7451,77814600.0,28349100.0,67570300.0
7452,76780600.0,27971200.0,66800300.0
7453,76274500.0,28030900.0,65420300.0
7454,75649900.0,27918600.0,63510900.0
7455,75485400.0,28039700.0,62207500.0
7456,75479700.0,28542200.0,62152500.0
7457,79370800.0,30380800.0,67332600.0
7458,79155700.0,30004800.0,71501100.0
7459,75754600.0,29095600.0,68960200.0
7460,70127900.0,27582100.0,64596200.0
7461,65446600.0,25853100.0,61218500.0
7462,61692400.0,24853100.0,63989200.0
7463,55284800.0,23332000.0,62586700.0
7464,50647200.0,21502900.0,57907500.0
7465,47921300.0,20153800.0,57150200.0
7466,46826300.0,19491900.0,54829300.0
7467,47412900.0,19098600.0,52903200.0
7468,49393500.0,19255300.0,53396200.0
7469,53804500.0,20152700.0,56962600.0
7470,63418900.0,22808500.0,62933400.0
7471,70977900.0,26283200.0,66174600.0
7472,73653200.0,27848000.0,68214700.0
7473,74491700.0,28554200.0,68809900.0
7474,75847800.0,28787100.0,68506400.0
7475,77407400.0,28969100.0,68760800.0
7476,76749500.0,28600600.0,67894500.0
7477,76851900.0,28652800.0,66309200.0
7478,76173300.0,28389500.0,64311400.0
7479,76179000.0,28282700.0,62737900.0
7480,76573500.0,28494800.0,62351900.0
7481,79438600.0,30335800.0,67758900.0
7482,78581700.0,30054600.0,71466700.0
7483,75640700.0,28895900.0,68670400.0
7484,70689200.0,27358800.0,64214200.0
7485,66125200.0,25658400.0,60794200.0
7486,62343400.0,24646700.0,63543300.0
7487,56734000.0,23194600.0,62288100.0
7488,52459900.0,21431300.0,57630500.0
7489,50428700.0,20180800.0,56688600.0
7490,49401600.0,19346400.0,54438300.0
7491,50365400.0,19078200.0,52594800.0
7492,52107900.0,19101700.0,52976800.0
7493,56079500.0,20096900.0,56629600.0
7494,65676700.0,22896700.0,62828300.0
7495,73557700.0,26246400.0,66062700.0
7496,76120300.0,27652100.0,67937700.0
7497,76889800.0,28544600.0,68607500.0
7498,78050400.0,28663800.0,68374800.0
7499,79245400.0,28813400.0,68702800.0
7500,78561000.0,28379800.0,67850300.0
7501,77875500.0,28435000.0,66365200.0
7502,77087600.0,28208300.0,64460700.0
7503,76858800.0,28231800.0,62906900.0
7504,76850700.0,28539100.0,62922600.0
7505,80108000.0,30237900.0,67897400.0
7506,79207400.0,29960400.0,71217200.0
7507,77241800.0,28959200.0,68266700.0
7508,72467400.0,27447100.0,63761400.0
7509,67832100.0,25713000.0,60288300.0
7510,63922600.0,24582600.0,62971700.0
7511,58446600.0,23217600.0,61703700.0
7512,54107000.0,21251200.0,56893800.0
7513,51955000.0,20099900.0,56134600.0
7514,51163600.0,19293000.0,53769500.0
7515,52310400.0,19074400.0,52104600.0
7516,54219700.0,19126400.0,52584000.0
7517,57648400.0,20207500.0,56247600.0
7518,67567600.0,22802600.0,62083800.0
7519,75515300.0,26197200.0,65346600.0
7520,77464900.0,27602100.0,67404400.0
7521,77935300.0,28569300.0,68126300.0
7522,79856100.0,28723200.0,67842400.0
7523,81293900.0,28598800.0,68048700.0
7524,80228800.0,28097900.0,67566400.0
7525,78559900.0,27929800.0,65483200.0
7526,76663200.0,27645500.0,63392100.0
7527,75794800.0,27459000.0,62185900.0
7528,76105400.0,27754500.0,61951200.0
7529,79706600.0,29450900.0,66575400.0
7530,78925600.0,29077500.0,68927700.0
7531,76047900.0,27928600.0,65454700.0
7532,70483300.0,26348200.0,61103500.0
7533,65611100.0,24731300.0,57926100.0
7534,62306600.0,23955000.0,60497500.0
7535,57042200.0,23125500.0,59079200.0
7536,52546200.0,21238700.0,53838200.0
7537,49987000.0,19865100.0,52244100.0
7538,48489500.0,18902900.0,49411500.0
7539,48316900.0,18303200.0,46739900.0
7540,48533200.0,18148800.0,45882400.0
7541,48573400.0,18378400.0,46718300.0
7542,49676500.0,19163500.0,48760300.0
7543,53284600.0,20559000.0,50317000.0
7544,57940500.0,22151000.0,53035800.0
7545,62138700.0,23794500.0,55277100.0
7546,64922200.0,24650400.0,56231800.0
7547,66239100.0,25122300.0,57476300.0
7548,65317800.0,24884000.0,58976100.0
7549,63614400.0,24436600.0,56352700.0
7550,62001800.0,24081300.0,54401000.0
7551,61775200.0,23905700.0,52941500.0
7552,63310700.0,24291400.0,53424700.0
7553,67250100.0,26182600.0,57893700.0
7554,67004000.0,26025500.0,60468100.0
7555,64165300.0,25072600.0,58329800.0
7556,58988300.0,23809600.0,54988400.0
7557,55564300.0,22550300.0,53043600.0
7558,55045500.0,22054600.0,56750400.0
7559,50911800.0,21244200.0,56408600.0
7560,46519200.0,19921700.0,52107600.0
7561,43482700.0,18691100.0,50886700.0
7562,42147400.0,17888900.0,48279000.0
7563,42347500.0,17446800.0,45852000.0
7564,43099700.0,17364700.0,44922800.0
7565,42675300.0,17485500.0,45552400.0
7566,42371600.0,17995900.0,46757600.0
7567,43945100.0,18520900.0,47388100.0
7568,48022500.0,19316000.0,49946800.0
7569,51955000.0,20819900.0,52531900.0
7570,54630300.0,21634200.0,53906000.0
7571,57609300.0,22096400.0,55428400.0
7572,57720800.0,22432500.0,56699400.0
7573,55864400.0,22164300.0,53089800.0
7574,54236900.0,21678500.0,50958400.0
7575,54311700.0,21526000.0,49403600.0
7576,56431500.0,22063800.0,49880900.0
7577,63003600.0,24701800.0,56239700.0
7578,64349400.0,25337800.0,60092900.0
7579,62599900.0,25049300.0,59927900.0
7580,60054600.0,24145700.0,57484100.0
7581,57517300.0,23024400.0,55163200.0
7582,56896200.0,22383700.0,58286600.0
7583,52809600.0,21211200.0,57344700.0
7584,48941500.0,19613400.0,53367800.0
7585,47036800.0,18723600.0,52896300.0
7586,46368500.0,18181500.0,50735500.0
7587,47253000.0,18028900.0,48930200.0
7588,49643100.0,18229500.0,49895700.0
7589,54433600.0,19252400.0,54622000.0
7590,65805500.0,22213200.0,62736900.0
7591,74430700.0,25838400.0,66928000.0
7592,76915100.0,27357800.0,67929800.0
7593,77722600.0,28222900.0,68561400.0
7594,78701400.0,28427900.0,68408200.0
7595,79748000.0,28793300.0,69009300.0
7596,79116600.0,28474400.0,68373800.0
7597,78653000.0,28486400.0,66858200.0
7598,77736400.0,28344300.0,65040200.0
7599,77743300.0,28248300.0,63660200.0
7600,77790400.0,28745100.0,64034400.0
7601,81533100.0,30615100.0,69550500.0
7602,81115600.0,30230300.0,72695500.0
7603,78876200.0,29130700.0,69766500.0
7604,74220200.0,27435100.0,64987200.0
7605,69651700.0,25801800.0,61151700.0
7606,65448900.0,24714900.0,63607200.0
7607,59202300.0,23452000.0,62113200.0
7608,55172000.0,21445800.0,57677600.0
7609,53171900.0,20190400.0,56741600.0
7610,52557700.0,19439200.0,54693700.0
7611,53911400.0,19221100.0,52746000.0
7612,55589600.0,19296600.0,53195900.0
7613,59285100.0,20264400.0,57298500.0
7614,68479700.0,23137400.0,65050000.0
7615,76043300.0,26681100.0,68977800.0
7616,77960600.0,28011400.0,69412000.0
7617,77705300.0,28852900.0,69490500.0
7618,79348900.0,29130200.0,68805900.0
7619,80829200.0,29405200.0,68738200.0
7620,80081600.0,29067400.0,68027100.0
7621,79275300.0,29033800.0,66328800.0
7622,77994000.0,28806500.0,64534400.0
7623,77561500.0,28692700.0,63430400.0
7624,77875500.0,29019500.0,63846800.0
7625,81768900.0,30732500.0,69247900.0
7626,81434200.0,30131700.0,72706300.0
7627,79231600.0,28968400.0,69952200.0
7628,74283500.0,27416900.0,65332900.0
7629,70100300.0,25761600.0,61816600.0
7630,65751400.0,24618800.0,64164100.0
7631,59828000.0,23162000.0,62826300.0
7632,55074300.0,21348200.0,58021400.0
7633,53124700.0,20102300.0,57182600.0
7634,52226400.0,19341000.0,54896100.0
7635,52960200.0,19110400.0,53419800.0
7636,54655600.0,19145000.0,53829400.0
7637,58624900.0,19961000.0,57659000.0
